                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      8.9999999999999997E-002      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                            model_number                                 star_age                                star_mass                                    log_L                                 log_Teff                                    log_R 
                                       1                  1.0000000000000000E+002                  8.9999999999999997E-002                 -2.5678105827187587E+000                  3.4710027320984209E+000                 -7.0265191910359470E-001 
                                      50                  4.5497190750010675E+006                  8.9999999999999997E-002                 -2.5906316336212543E+000                  3.4698311035524538E+000                 -7.1171918746290841E-001 
                                      84                  2.2397243694122801E+009                  8.9999999999999997E-002                 -3.2127080802938299E+000                  3.4236534087424104E+000                 -9.3040202117910920E-001 
                                     100                  1.6573151687055964E+010                  8.9999999999999997E-002                 -3.2081214336669879E+000                  3.4245214730660209E+000                 -9.2984482651290890E-001 
                                     150                  6.6573151687055962E+010                  8.9999999999999997E-002                 -3.1917728748073615E+000                  3.4275877049863848E+000                 -9.2780301092382311E-001 
                                     200                  1.1657315168705597E+011                  8.9999999999999997E-002                 -3.1752700268469733E+000                  3.4306659996529012E+000                 -9.2570817627666180E-001 
                                     250                  1.6657315168705597E+011                  8.9999999999999997E-002                 -3.1584711142929480E+000                  3.4337648540144334E+000                 -9.2350642872271327E-001 
                                     300                  2.1657315168705597E+011                  8.9999999999999997E-002                 -3.1412044266504613E+000                  3.4368824393654802E+000                 -9.2110825560356480E-001 
                                     350                  2.6657315168705597E+011                  8.9999999999999997E-002                 -3.1232823981193492E+000                  3.4400008046721702E+000                 -9.1838397195138832E-001 
                                     400                  3.1657315168705597E+011                  8.9999999999999997E-002                 -3.1044708237107419E+000                  3.4431143761021032E+000                 -9.1520532760695061E-001 
                                     450                  3.6657315168705597E+011                  8.9999999999999997E-002                 -3.0846083485913018E+000                  3.4462339096829000E+000                 -9.1151315720882364E-001 
                                     500                  4.1657315168705597E+011                  8.9999999999999997E-002                 -3.0637639718434371E+000                  3.4493595335954521E+000                 -9.0734221665999593E-001 
